,price_de_eur,battery_charge_wh,battery_discharge_wh,grid_buy_wh,grid_sell_wh,pv_gen_wh,grid_port_charge_wh,grid_port_output_wh,user_load_wh,strategy_mode,price_de_eur_t+1,price_de_eur_t+2,price_de_eur_t+3,price_de_eur_t+4,price_de_eur_t+5,price_de_eur_t+6,price_de_eur_t+7,price_de_eur_t+8,price_de_eur_t+9,price_de_eur_t+10,price_de_eur_t+11,price_de_eur_t+12,price_de_eur_t+13,price_de_eur_t+14,price_de_eur_t+15,price_de_eur_t+16,price_de_eur_t+17,price_de_eur_t+18,price_de_eur_t+19,price_de_eur_t+20,price_de_eur_t+21,price_de_eur_t+22,price_de_eur_t+23,hour_of_day,day_of_week,day_of_year,month,day_of_month
2026-01-01 00:00:00,0.06001,0.0,0.0,0.37999999999999545,0.0,0.0,0.0,0.0,330.0,0.0,0.03601,0.01008,0.0045,0.00305,1e-05,9e-05,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0,3,1,1,1
2026-01-01 01:00:00,0.03601,0.0,0.0,0.4900000000000091,0.0,0.0,0.0,0.0,250.0,0.0,0.01008,0.0045,0.00305,1e-05,9e-05,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,1,3,1,1,1
2026-01-01 02:00:00,0.01008,0.0,0.0,0.11000000000001364,0.0,0.09999999999999432,0.0,0.0,250.0,0.0,0.0045,0.00305,1e-05,9e-05,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,2,3,1,1,1
2026-01-01 03:00:00,0.0045,0.0,0.0,0.3299999999999841,0.0,0.0,0.0,0.0,140.0,3.0,0.00305,1e-05,9e-05,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,3,3,1,1,1
2026-01-01 04:00:00,0.00305,0.0,0.0,0.13999999999998636,0.0,0.0,0.0,0.10000000000002274,110.0,1.0,1e-05,9e-05,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,0.0001,4,3,1,1,1
2026-01-01 05:00:00,1e-05,0.0,0.0,0.1500000000000341,0.0,0.0,0.0,0.0,150.0,1.0,9e-05,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,0.0001,0.00499,5,3,1,1,1
2026-01-01 06:00:00,9e-05,0.0,0.0,0.0999999999999659,0.0,0.0,0.0,0.0,140.0,1.0,4e-05,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,0.0001,0.00499,0.00554,6,3,1,1,1
2026-01-01 07:00:00,4e-05,0.0,0.0,0.35000000000002274,0.0,0.09999999999999432,0.0,0.0,300.00000000000006,1.0,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,0.0001,0.00499,0.00554,0.03293,7,3,1,1,1
2026-01-01 08:00:00,0.0,0.0,0.0,0.5699999999999932,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,0.0001,0.00499,0.00554,0.03293,0.06633,8,3,1,1,1
2026-01-01 09:00:00,0.0,0.0,0.0,0.08999999999997499,0.0,0.0,0.0,0.0,240.0,2.0,0.0,-1e-05,-1e-05,-1e-05,0.0001,0.00451,0.02008,0.02776,0.02896,0.01253,0.01001,0.01528,0.00114,0.01375,0.00664,0.00451,0.00083,0.0001,0.00499,0.00554,0.03293,0.06633,0.07051,9,3,1,1,1
