timestamp,pv_gen_wh,user_load_wh,price_eur_kwh,price_eur_kwh_t+1,price_eur_kwh_t+2,price_eur_kwh_t+3,price_eur_kwh_t+4,price_eur_kwh_t+5,price_eur_kwh_t+6,price_eur_kwh_t+7,price_eur_kwh_t+8,price_eur_kwh_t+9,price_eur_kwh_t+10,price_eur_kwh_t+11,price_eur_kwh_t+12,price_eur_kwh_t+13,price_eur_kwh_t+14,price_eur_kwh_t+15,price_eur_kwh_t+16,price_eur_kwh_t+17,price_eur_kwh_t+18,price_eur_kwh_t+19,price_eur_kwh_t+20,price_eur_kwh_t+21,price_eur_kwh_t+22,price_eur_kwh_t+23,price_eur_kwh_t+24,temperature_2m,cloud_cover,shortwave_radiation,relative_humidity_2m,wind_speed_10m,shortwave_radiation_t+1,shortwave_radiation_t+2,shortwave_radiation_t+3,shortwave_radiation_t+4,shortwave_radiation_t+5,shortwave_radiation_t+6,hour_of_day,day_of_week,day_of_year,day_of_month,lat,lon,country,state,baseline_reward
2026-04-15 02:00:00,0.0,0.0,0.1101,0.11468,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,7.3,94.0,0.0,87.0,5.6,0.0,0.0,0.0,0.0,8.0,55.0,2,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 03:00:00,0.0,0.0,0.11468,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,6.8,97.0,0.0,88.0,6.6,0.0,0.0,0.0,8.0,55.0,151.0,3,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 04:00:00,0.0,0.0,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,5.7,94.0,0.0,89.0,7.0,0.0,0.0,8.0,55.0,151.0,198.0,4,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 05:00:00,0.0,0.0,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,5.9,68.0,0.0,90.0,7.1,0.0,8.0,55.0,151.0,198.0,221.0,5,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 06:00:00,0.0,0.0,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,5.6,73.0,0.0,92.0,7.3,8.0,55.0,151.0,198.0,221.0,308.0,6,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 07:00:00,0.0,0.0,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,5.1,78.0,8.0,92.0,7.6,55.0,151.0,198.0,221.0,308.0,239.0,7,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 08:00:00,0.0,0.0,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,6.7,91.0,55.0,90.0,8.6,151.0,198.0,221.0,308.0,239.0,283.0,8,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 09:00:00,100.0,0.0,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,9.1,94.0,151.0,85.0,9.1,198.0,221.0,308.0,239.0,283.0,258.0,9,2,105,15,49.46944,11.20111,Germany,Bayern,0.009933
2026-04-15 10:00:00,400.0,0.0,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,10.1,93.0,198.0,81.0,8.8,221.0,308.0,239.0,283.0,258.0,187.0,10,2,105,15,49.46944,11.20111,Germany,Bayern,0.027848
2026-04-15 11:00:00,600.0000000000001,500.0,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,11.7,99.0,221.0,77.0,9.7,308.0,239.0,283.0,258.0,187.0,161.0,11,2,105,15,49.46944,11.20111,Germany,Bayern,0.030030000000000005
2026-04-15 12:00:00,600.0000000000001,800.0,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,12.5,100.0,308.0,74.0,6.2,239.0,283.0,258.0,187.0,161.0,123.0,12,2,105,15,49.46944,11.20111,Germany,Bayern,0.01959600000000001
2026-04-15 13:00:00,500.0,400.0,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,13.2,100.0,239.0,72.0,5.8,283.0,258.0,187.0,161.0,123.0,52.0,13,2,105,15,49.46944,11.20111,Germany,Bayern,0.032765
2026-04-15 14:00:00,600.0000000000001,500.0,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,0.06499,14.4,100.0,283.0,70.0,5.6,258.0,187.0,161.0,123.0,52.0,13.0,14,2,105,15,49.46944,11.20111,Germany,Bayern,0.050862000000000004
2026-04-15 15:00:00,100.0,200.0,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,0.06499,0.09758,14.4,100.0,258.0,67.0,5.6,187.0,161.0,123.0,52.0,13.0,0.0,15,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 16:00:00,0.0,100.0,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,0.06499,0.09758,0.10528,14.5,100.0,187.0,67.0,5.7,161.0,123.0,52.0,13.0,0.0,0.0,16,2,105,15,49.46944,11.20111,Germany,Bayern,-0.012712000000000001
2026-04-15 17:00:00,0.0,0.0,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,0.06499,0.09758,0.10528,0.13559,14.7,100.0,161.0,67.0,5.4,123.0,52.0,13.0,0.0,0.0,0.0,17,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
2026-04-15 18:00:00,0.0,0.0,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,0.06499,0.09758,0.10528,0.13559,0.19359,14.6,100.0,123.0,68.0,4.8,52.0,13.0,0.0,0.0,0.0,0.0,18,2,105,15,49.46944,11.20111,Germany,Bayern,0.0
