iteration,mean_reward,clip_ratio,eval_profit
0,-0.0037964300013505823,0.0024074074074074076,-0.00027984798981545736
1,-0.003700668867602335,0.0025925925925925925,-2.5311003367117625e-05
2,-0.0027474057427312928,0.0025925925925925925,0.0015516785909234366
3,-0.002585564592089181,0.0022222222222222222,0.00367315875281537
4,-0.0020185649091395237,0.002962962962962963,0.00799841724309096
5,-0.00042325021010233295,0.002962962962962963,0.017080728784244034
6,0.00021361012038132113,0.002777777777777778,0.023973351809518113
7,0.0005465007256943498,0.0016666666666666668,0.02927374317957256
8,0.0010630337861120194,0.0022222222222222222,0.03256255148832211
9,0.0005641322281015489,0.001851851851851852,0.03290433973360928
10,0.00208359174140624,0.001851851851851852,0.033133558150031855
11,0.0033969434060704866,0.0012962962962962963,0.033336198067488325
12,0.0038936930166218716,0.0011111111111111111,0.033612919237083844
13,0.004962874861075287,0.0024074074074074076,0.03360701735060127
14,0.005351590364797952,0.0011111111111111111,0.03384322414878323
15,0.005211492672428723,0.0024074074074074076,0.03380841593440994
16,0.006695377499051448,0.001851851851851852,0.03396153671827793
17,0.007358753358943338,0.0025925925925925925,0.03410945304335636
18,0.006393986853845957,0.000925925925925926,0.03423383983466135
19,0.007528031829744742,0.0014814814814814814,0.03426824961864738
20,0.007488485661595178,0.002037037037037037,0.03432821358392593
21,0.008877770728824898,0.0011111111111111111,0.03433222858026543
22,0.0077613871026007315,0.0007407407407407407,0.03426826341598632
23,0.00950771289025179,0.001851851851851852,0.03439039148156725
24,0.010031433985221156,0.0014814814814814814,0.03434791629419884
25,0.00908280328840255,0.003148148148148148,0.034530796095035586
26,0.01086131518748947,0.0011111111111111111,0.03462842724938081
27,0.010044096251748288,0.0007407407407407407,0.034461322972426184
28,0.011421097479383165,0.000925925925925926,0.034159007170784676
29,0.010829169070874297,0.000925925925925926,0.03435736512976815
30,0.01059119025981795,0.001851851851851852,0.034471742195727066
31,0.011759851055346266,0.0005555555555555556,0.03435984738089844
32,0.01096771060926511,0.000925925925925926,0.03432005788964587
33,0.01224363675012264,0.000925925925925926,0.034356990092470625
34,0.0115180310762292,0.000925925925925926,0.03419383028698093
35,0.013761527917863245,0.000925925925925926,0.03416600469401458
36,0.012817484987411708,0.0005555555555555556,0.03427826142775363
37,0.014101855370593105,0.0005555555555555556,0.034259306258784
38,0.01410683549590427,0.00037037037037037035,0.03433558791397088
39,0.014249556948529479,0.0007407407407407407,0.034663804727837595
40,0.013896683382939437,0.0005555555555555556,0.03461718183500704
41,0.013152459933778615,0.00018518518518518518,0.03437039891908427
42,0.012096323867251442,0.000925925925925926,0.03430906913322339
43,0.014714251224974599,0.00018518518518518518,0.0344067266500907
44,0.01497265478814068,0.0014814814814814814,0.03435231485249295
45,0.015501097586890028,0.0011111111111111111,0.03453097879564554
46,0.014735881665448985,0.000925925925925926,0.03485104838707595
47,0.014741723194999367,0.000925925925925926,0.034976159356970266
